titulo,url,data,adicoes,delecoes,tags
chore: bump langgraph from 1.0.8 to 1.0.10rc1 in /libs/partners/anthropic,https://github.com/langchain-ai/langchain/pull/35614,2026-03-07,7,7,"integration, infra, dependencies, anthropic, python:uv, external"
chore: bump langgraph from 1.0.8 to 1.0.10rc1 in /libs/partners/huggingface,https://github.com/langchain-ai/langchain/pull/35613,2026-03-07,12,7,"integration, infra, dependencies, huggingface, python:uv, external"
chore: bump langgraph from 1.0.8 to 1.0.10rc1 in /libs/partners/openai,https://github.com/langchain-ai/langchain/pull/35612,2026-03-07,7,7,"integration, infra, dependencies, openai, python:uv, external"
chore: bump langgraph from 1.0.8 to 1.0.10rc1 in /libs/model-profiles,https://github.com/langchain-ai/langchain/pull/35611,2026-03-07,6,6,"dependencies, model-profiles, python:uv"
fix(langchain): bump minimum langchain-core to 0.3.73,https://github.com/langchain-ai/langchain/pull/35608,2026-03-06,1,1,"dependencies, langchain-classic, internal"
release(langchain): 0.3.28,https://github.com/langchain-ai/langchain/pull/35607,2026-03-06,2,2,"release, dependencies, langchain-classic"
chore: bump the minor-and-patch group across 3 directories with 7 updates,https://github.com/langchain-ai/langchain/pull/35605,2026-03-07,295,267,"core, langchain, infra, dependencies, langchain-classic, python:uv, external"
fix(langchain): backport patch ReDoS vulnerability in MRKL and ReAct action regex (CVE-2024-58340),https://github.com/langchain-ai/langchain/pull/35603,2026-03-06,66,139,"langchain, dependencies, fix, langchain-classic, internal"
release(langchain): bump langchain-classic to 1.0.2,https://github.com/langchain-ai/langchain/pull/35601,2026-03-06,4,4,"release, dependencies, langchain-classic, internal"
fix(langchain-classic): patch ReDoS vulnerability in MRKL and ReAct action regex (CVE-2024-58340),https://github.com/langchain-ai/langchain/pull/35598,2026-03-06,64,6,"fix, langchain-classic"
fix(openai): update responses API model detection for pro and codex models,https://github.com/langchain-ai/langchain/pull/35594,2026-03-09,24,2,"integration, fix, openai"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/35593,2026-03-06,88,0,"integration, infra, openai, external, openrouter, bot"
chore: bump types-pytz from 2025.2.0.20251108 to 2026.1.1.20260304 in /libs/langchain,https://github.com/langchain-ai/langchain/pull/35592,2026-03-07,6,6,"infra, dependencies, langchain-classic, python:uv"
chore: bump packaging from 24.2 to 26.0 in /libs/langchain,https://github.com/langchain-ai/langchain/pull/35591,2026-03-07,7,8,"infra, dependencies, langchain-classic, python:uv, external"
chore: bump the minor-and-patch group across 3 directories with 3 updates,https://github.com/langchain-ai/langchain/pull/35589,2026-03-06,123,65,"standard-tests, infra, text-splitters, dependencies, model-profiles, python:uv"
ci(infra): add top-level permissions and SHA-pin third-party actions [INF-0000],https://github.com/langchain-ai/langchain/pull/35588,2026-03-06,29,14,"infra, github_actions, internal"
chore(infra): update dependabot.yml to monthly schedule with update-type split [INF-0000],https://github.com/langchain-ai/langchain/pull/35587,2026-03-06,40,12,"infra, internal"
chore: add note to release workflow,https://github.com/langchain-ai/langchain/pull/35583,2026-03-05,5,1,"infra, github_actions, model-profiles"
feat(openai): support tool search,https://github.com/langchain-ai/langchain/pull/35582,2026-03-08,516,15,"integration, core, feature, openai, internal"
fix(anthropic): update integration test,https://github.com/langchain-ai/langchain/pull/35577,2026-03-05,28,11,"integration, fix, anthropic, internal"
fix(openrouter): include role in sdk `model_construct` for min dep compat,https://github.com/langchain-ai/langchain/pull/35562,2026-03-04,1,2,"integration, fix, internal, openrouter"
release(openrouter): 0.1.0,https://github.com/langchain-ai/langchain/pull/35560,2026-03-04,2,2,"integration, release, dependencies, internal, openrouter"
feat(openrouter): add streaming token usage support,https://github.com/langchain-ai/langchain/pull/35559,2026-03-04,208,29,"integration, feature, openai, internal, openrouter"
fix(core): preserve default_factory when generating tool call schema,https://github.com/langchain-ai/langchain/pull/35550,2026-03-08,42,1,"core, fix, external"
fix(anthropic): drop forced tool_choice when thinking is enabled,https://github.com/langchain-ai/langchain/pull/35544,2026-03-05,107,0,"integration, fix, anthropic"
fix(openai): avoid PydanticSerializationUnexpectedValue for structured output,https://github.com/langchain-ai/langchain/pull/35543,2026-03-05,50,1,"integration, fix, openai"
"feat(fireworks,groq,openrouter): add standard model property",https://github.com/langchain-ai/langchain/pull/35542,2026-03-03,31,3,"integration, feature, fireworks, groq, internal, openrouter"
docs(groq): generalize vision models ref,https://github.com/langchain-ai/langchain/pull/35536,2026-03-03,3,4,"documentation, integration, groq, internal"
chore(langchain): switch refs from gemini-3 to gemini-3.1,https://github.com/langchain-ai/langchain/pull/35535,2026-03-03,2,2,"langchain, infra, internal"
release(core): 1.2.17,https://github.com/langchain-ai/langchain/pull/35527,2026-03-02,2,2,"core, release, dependencies"
fix(core): extract usage metadata from serialized tracer message outputs,https://github.com/langchain-ai/langchain/pull/35526,2026-03-02,207,35,"core, fix"
fix(huggingface): switch integration test provider to together,https://github.com/langchain-ai/langchain/pull/35525,2026-03-02,1,1,"integration, fix, huggingface, internal"
fix(huggingface): resolve huggingface-hub 1.x compat,https://github.com/langchain-ai/langchain/pull/35524,2026-03-02,3,3,"integration, fix, huggingface, internal"
fix(huggingface): bump transformers and sentence-transformers lower bounds,https://github.com/langchain-ai/langchain/pull/35522,2026-03-02,107,136,"integration, dependencies, fix, huggingface"
chore: bump the langchain-deps group across 3 directories with 7 updates,https://github.com/langchain-ai/langchain/pull/35513,2026-03-02,100,99,"core, langchain, infra, dependencies, langchain-classic, python:uv, external"
chore: bump the other-deps group across 3 directories with 2 updates,https://github.com/langchain-ai/langchain/pull/35512,2026-03-02,60,60,"standard-tests, infra, text-splitters, dependencies, model-profiles, python:uv, external"
chore: bump the github-actions group with 2 updates,https://github.com/langchain-ai/langchain/pull/35511,2026-03-02,7,7,"infra, dependencies, github_actions, external"
ci: fix codspeed segfault,https://github.com/langchain-ai/langchain/pull/35502,2026-03-02,6,2,"infra, github_actions, internal"
chore(model-profiles): refresh model profile data,https://github.com/langchain-ai/langchain/pull/35477,2026-03-01,16,0,"integration, infra, external, openrouter, bot"
fix: compaction typo,https://github.com/langchain-ai/langchain/pull/35467,2026-02-27,2,2,"integration, fix, openai, internal"
feat(openrouter): surface `cost` and `cost_details` in `response_metadata`,https://github.com/langchain-ai/langchain/pull/35461,2026-03-01,165,5,"integration, feature, external, openrouter"
fix(deepseek): use proper URL parsing for azure endpoint detection,https://github.com/langchain-ai/langchain/pull/35455,2026-03-01,6,1,"integration, fix, deepseek, internal"
fix(openai): add test for CSV and accommodate breaking changes in file url inputs,https://github.com/langchain-ai/langchain/pull/35454,2026-02-26,68,1,"integration, fix, openai, internal"
chore: bump langgraph-checkpoint from 3.0.1 to 4.0.0 in /libs/partners/anthropic,https://github.com/langchain-ai/langchain/pull/35450,2026-02-26,5,5,"integration, dependencies, anthropic, python:uv, external"
chore: bump nltk from 3.9.2 to 3.9.3 in /libs/text-splitters,https://github.com/langchain-ai/langchain/pull/35449,2026-02-26,4,4,"infra, text-splitters, dependencies, python:uv, external"
chore: bump langgraph-checkpoint from 3.0.0 to 4.0.0 in /libs/partners/openai,https://github.com/langchain-ai/langchain/pull/35448,2026-02-26,57,56,"integration, infra, dependencies, openai, python:uv, external"
chore: bump langgraph-checkpoint from 3.0.0 to 4.0.0 in /libs/partners/huggingface,https://github.com/langchain-ai/langchain/pull/35447,2026-03-01,61,55,"integration, infra, dependencies, huggingface, python:uv"
chore: bump langgraph-checkpoint from 3.0.0 to 4.0.0 in /libs/model-profiles,https://github.com/langchain-ai/langchain/pull/35446,2026-02-26,54,53,"infra, dependencies, model-profiles, python:uv"
chore: bump langgraph-checkpoint from 3.0.1 to 4.0.0 in /libs/langchain_v1,https://github.com/langchain-ai/langchain/pull/35445,2026-02-26,3,3,"langchain, infra, dependencies, python:uv"
chore: bump the langchain-deps group across 3 directories with 14 updates,https://github.com/langchain-ai/langchain/pull/35441,2026-02-26,188,185,"core, langchain, infra, dependencies, langchain-classic, python:uv"
